0	0
1	0.9286
52	0.1113
58	0.0414
62	1
65	0.323
66	0
70	0.9902
73	0.7707
75	0.9492
78	0.6642
78	0.0209
108	0.3308
117	0
120	0.852
127	0.8382
128	0
141	0.753
141	0.7573
142	0.9443
146	0.224
150	0.9993
151	0.2886
158	0.112
159	0.997
161	1
175	0.9384
177	0.1267
188	0
188	0.0127
197	0.8983
197	1
198	0
200	0.7865
207	0.9638
210	0.0058
210	0.9947
211	0.9929
215	0.0205
217	0.0129
217	0.0286
225	0
225	0.024
234	0.0817
244	0.9303
244	0.722
249	0.3364
256	0.3765
266	0.2623
282	0
285	0.3991
299	0.2885
300	0.7088
304	0.7343
311	0.8833
312	0.65
313	0
315	0.3023
361	0.9405
366	0.8489
374	0.9575
375	0.0013
382	0.0798
385	1
386	0.0671
394	0.0034
398	0.9803
398	1
404	0.0896
406	0
409	0.9845
413	0.0255
416	0
419	0.045
421	9e-04
435	0
441	0.8344
441	0.051
446	0.0449
455	0.8677
461	0.2859
469	0.9895
486	0.1216
487	0.9918
488	1
489	0.0175
492	0.2011
492	0.9405
494	0.7507
497	0.981
499	0.782
501	0.7151
502	0.7058
503	0.9217
503	0
504	0.9768
505	0.8948
505	1
505	0.9934
506	0.9435
513	0.9107
513	0.9524
513	0.0216
515	1
530	0.0195
534	0.0269
540	0.009
540	0.0568
541	1
546	0.9557
552	0
554	0.9398
554	0.0057
554	0.9088
556	0.9299
562	0.6797
564	0.996
568	0
569	0.8798
571	0.0832
572	0.0742
572	0.0312
572	1
572	0
573	0.9874
573	0.0462
573	0.0199
578	0.8784
579	0.674
579	1
579	0
580	0.3417
581	0.0264
581	1
581	0.2538
585	0.9537
586	1
587	0.5803
587	0.395
588	0.0988
588	0.9972
588	0.926
595	0.5255
597	0.6138
599	0.1164
601	0.1185
609	0.632
610	0.0648
618	0.7367
618	0.7146
621	0.258
628	0.9019
628	0.2203
629	1
630	0.6448
630	0.0691
630	0.005
630	0.0112
636	0.8919
639	0.8924
645	0.4689
647	0.9992
649	0.2231
652	0.9944
656	0.6187
660	0.8111
663	0.7049
663	0.3106
712	0.7092
716	0
719	0.7407
719	0
